surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,32,A,20180101,105992,Ryan Harrison,R,183.0,25.6,104919,Leonardo Mayer,R,188.0,30.6,6-4 3-6 6-2,R32,47.0,1010.0,52.0,909.0
Hard,32,A,20180101,111577,Jared Donaldson,R,188.0,21.2,111442,Jordan Thompson,R,183.0,23.7,6-2 6-4,R32,54.0,890.0,94.0,593.0
Hard,32,A,20180101,104797,Denis Istomin,R,188.0,31.3,106000,Damir Dzumhur,R,172.0,25.6,6-7(4) 6-3 6-2,R32,63.0,809.0,30.0,1391.0
Hard,32,A,20180101,200282,Alex De Minaur,R,183.0,18.8,105449,Steve Johnson,R,188.0,28.0,7-6(7) 6-4,R32,208.0,245.0,44.0,1055.0
Hard,32,A,20180101,111581,Michael Mmoh,R,188.0,19.9,105643,Federico Delbonis,L,190.0,27.2,6-3 6-4,R32,175.0,299.0,68.0,755.0
Hard,32,A,20180101,104999,Mischa Zverev,L,190.0,30.3,105441,John Patrick Smith,L,188.0,28.9,6-4 7-5,R32,33.0,1302.0,218.0,235.0
Hard,32,A,20180101,105238,Alexandr Dolgopolov,R,180.0,29.1,106043,Diego Schwartzman,R,170.0,25.3,6-4 7-6(3),R32,38.0,1231.0,26.0,1675.0
Hard,32,A,20180101,104547,Horacio Zeballos,L,188.0,32.6,124014,Ernesto Escobedo,R,185.0,21.4,6-3 6-4,R32,66.0,768.0,120.0,498.0
Hard,32,A,20180101,105051,Matthew Ebden,R,188.0,30.0,126207,Frances Tiafoe,R,188.0,19.9,6-3 6-2,R32,76.0,670.0,79.0,662.0
Hard,32,A,20180101,111202,Hyeon Chung,R,188.0,21.6,104180,Gilles Muller,L,193.0,34.6,6-3 7-6(1),R32,58.0,844.0,25.0,1695.0
Hard,32,A,20180101,106378,Kyle Edmund,R,188.0,22.9,133430,Denis Shapovalov,L,185.0,18.7,6-7(5) 7-6(4) 6-4,R32,50.0,992.0,51.0,981.0
Hard,32,A,20180101,105357,John Millman,R,183.0,28.5,105166,Peter Polansky,R,180.0,29.5,7-6(4) 6-0,R32,128.0,436.0,137.0,404.0
Hard,32,A,20180101,105992,Ryan Harrison,R,183.0,25.6,105870,Yannick Hanfmann,R,193.0,26.1,6-7(5) 6-4 6-2,R16,47.0,1010.0,119.0,499.0
Hard,32,A,20180101,104797,Denis Istomin,R,188.0,31.3,111577,Jared Donaldson,R,188.0,21.2,7-6(5) 6-2,R16,63.0,809.0,54.0,890.0
Hard,32,A,20180101,200282,Alex De Minaur,R,183.0,18.8,105683,Milos Raonic,R,196.0,27.0,6-4 6-4,R16,208.0,245.0,24.0,1795.0
Hard,32,A,20180101,111581,Michael Mmoh,R,188.0,19.9,104999,Mischa Zverev,L,190.0,30.3,6-2 5-7 6-4,R16,175.0,299.0,33.0,1302.0
Hard,32,A,20180101,105238,Alexandr Dolgopolov,R,180.0,29.1,104547,Horacio Zeballos,L,188.0,32.6,6-1 6-2,R16,38.0,1231.0,66.0,768.0
Hard,32,A,20180101,106401,Nick Kyrgios,R,193.0,22.6,105051,Matthew Ebden,R,188.0,30.0,6-7(3) 7-6(5) 6-2,R16,21.0,2010.0,76.0,670.0
Hard,32,A,20180101,106378,Kyle Edmund,R,188.0,22.9,111202,Hyeon Chung,R,188.0,21.6,7-6(3) 5-7 6-4,R16,50.0,992.0,58.0,844.0
Hard,32,A,20180101,105777,Grigor Dimitrov,R,188.0,26.6,105357,John Millman,R,183.0,28.5,4-6 7-6(8) 6-3,R16,3.0,5150.0,128.0,436.0
Hard,32,A,20180101,105992,Ryan Harrison,R,183.0,25.6,104797,Denis Istomin,R,188.0,31.3,7-6(6) 4-2 RET,QF,47.0,1010.0,63.0,809.0
Hard,32,A,20180101,200282,Alex De Minaur,R,183.0,18.8,111581,Michael Mmoh,R,188.0,19.9,6-4 6-0,QF,208.0,245.0,175.0,299.0
Hard,32,A,20180101,106401,Nick Kyrgios,R,193.0,22.6,105238,Alexandr Dolgopolov,R,180.0,29.1,1-6 6-3 6-4,QF,21.0,2010.0,38.0,1231.0
Hard,32,A,20180101,105777,Grigor Dimitrov,R,188.0,26.6,106378,Kyle Edmund,R,188.0,22.9,6-3 6-7(3) 6-4,QF,3.0,5150.0,50.0,992.0
Hard,32,A,20180101,105992,Ryan Harrison,R,183.0,25.6,200282,Alex De Minaur,R,183.0,18.8,4-6 7-6(5) 6-4,SF,47.0,1010.0,208.0,245.0
Hard,32,A,20180101,106401,Nick Kyrgios,R,193.0,22.6,105777,Grigor Dimitrov,R,188.0,26.6,3-6 6-1 6-4,SF,21.0,2010.0,3.0,5150.0
Hard,32,A,20180101,106401,Nick Kyrgios,R,193.0,22.6,105992,Ryan Harrison,R,183.0,25.6,6-4 6-2,F,21.0,2010.0,47.0,1010.0
Hard,32,A,20180101,106432,Borna Coric,R,188.0,21.1,105807,Pablo Carreno Busta,R,188.0,26.4,5-7 6-2 7-6(8),R32,48.0,1001.0,10.0,2615.0
Hard,32,A,20180101,105932,Nikoloz Basilashvili,R,185.0,25.8,105341,Thomas Fabbiano,R,173.0,28.6,6-4 6-3,R32,59.0,826.0,73.0,701.0
Hard,32,A,20180101,126094,Andrey Rublev,R,188.0,20.1,105649,Cedrik Marcel Stebe,L,183.0,27.2,6-1 0-0 RET,R32,39.0,1229.0,82.0,651.0
Hard,32,A,20180101,104269,Fernando Verdasco,L,188.0,34.1,104534,Dudi Sela,R,175.0,32.7,4-6 6-4 6-0,R32,35.0,1295.0,67.0,755.0
Hard,32,A,20180101,105550,Guido Pella,L,185.0,27.6,105077,Albert Ramos,L,188.0,29.9,2-6 7-5 7-5,R32,64.0,774.0,23.0,1845.0
Hard,32,A,20180101,105882,Stefano Travaglia,R,185.0,26.0,106325,Jabor Al Mutawa,U,,23.6,6-1 6-2,R32,134.0,414.0,,
Hard,32,A,20180101,105806,Mirza Basic,R,188.0,26.4,104890,Andreas Haider Maurer,R,190.0,30.7,6-4 6-3,R32,138.0,399.0,451.0,81.0
Hard,32,A,20180101,103852,Feliciano Lopez,L,188.0,36.2,104198,Guillermo Garcia Lopez,R,188.0,34.5,6-4 5-7 7-6(3),R32,36.0,1295.0,70.0,714.0
Hard,32,A,20180101,105376,Peter Gojowczyk,R,185.0,28.4,105936,Filip Krajinovic,R,185.0,25.8,6-4 6-1,R32,60.0,817.0,34.0,1298.0
Hard,32,A,20180101,126610,Matteo Berrettini,R,196.0,21.7,104678,Viktor Troicki,R,193.0,31.8,4-6 7-6(5) 6-4,R32,135.0,410.0,55.0,880.0
