surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,32,A,20181231,105453,Kei Nishikori,R,178.0,29.0,106421,Daniil Medvedev,R,198.0,22.8,6-4 3-6 6-2,F,9.0,3590.0,16.0,1977.0
Hard,32,A,20181231,106421,Daniil Medvedev,R,198.0,22.8,104542,Jo-Wilfried Tsonga,R,188.0,33.7,7-6(6) 6-2,SF,16.0,1977.0,239.0,200.0
Hard,32,A,20181231,105453,Kei Nishikori,R,178.0,29.0,104871,Jeremy Chardy,R,188.0,31.8,6-2 6-2,SF,9.0,3590.0,40.0,1050.0
Hard,32,A,20181231,104542,Jo-Wilfried Tsonga,R,188.0,33.7,200282,Alex De Minaur,R,183.0,19.8,6-4 7-6(2),QF,239.0,200.0,31.0,1298.0
Hard,32,A,20181231,106421,Daniil Medvedev,R,198.0,22.8,105683,Milos Raonic,R,196.0,28.0,6-7(2) 6-3 6-4,QF,16.0,1977.0,18.0,1855.0
Hard,32,A,20181231,104871,Jeremy Chardy,R,188.0,31.8,106034,Yasutaka Uchiyama,R,183.0,26.4,6-4 3-6 7-6(4),QF,40.0,1050.0,185.0,275.0
Hard,32,A,20181231,105453,Kei Nishikori,R,178.0,29.0,105777,Grigor Dimitrov,R,188.0,27.6,7-5 7-5,QF,9.0,3590.0,19.0,1835.0
Hard,32,A,20181231,104542,Jo-Wilfried Tsonga,R,188.0,33.7,106121,Taro Daniel,R,191.0,25.9,7-6(5) 6-3,R16,239.0,200.0,77.0,691.0
Hard,32,A,20181231,200282,Alex De Minaur,R,183.0,19.8,111442,Jordan Thompson,R,183.0,24.6,6-4 6-2,R16,31.0,1298.0,72.0,715.0
Hard,32,A,20181231,106421,Daniil Medvedev,R,198.0,22.8,104918,Andy Murray,R,190.0,31.6,7-5 6-2,R16,16.0,1977.0,240.0,200.0
Hard,32,A,20181231,105683,Milos Raonic,R,196.0,28.0,200175,Miomir Kecmanovic,R,183.0,19.3,6-3 7-6(2),R16,18.0,1855.0,131.0,433.0
Hard,32,A,20181231,104871,Jeremy Chardy,R,188.0,31.8,106401,Nick Kyrgios,R,193.0,23.6,6-7(5) 6-2 6-3,R16,40.0,1050.0,35.0,1125.0
Hard,32,A,20181231,106034,Yasutaka Uchiyama,R,183.0,26.4,106378,Kyle Edmund,R,188.0,23.9,7-6(6) 6-4,R16,185.0,275.0,14.0,2150.0
Hard,32,A,20181231,105777,Grigor Dimitrov,R,188.0,27.6,105357,John Millman,R,183.0,29.5,6-3 6-4,R16,19.0,1835.0,38.0,1083.0
Hard,32,A,20181231,105453,Kei Nishikori,R,178.0,29.0,106045,Denis Kudla,R,180.0,26.3,7-5 6-2,R16,9.0,3590.0,63.0,810.0
Hard,32,A,20181231,104542,Jo-Wilfried Tsonga,R,188.0,33.7,106423,Thanasi Kokkinakis,R,196.0,22.7,7-6(6) 6-4,R32,239.0,200.0,146.0,367.0
Hard,32,A,20181231,111442,Jordan Thompson,R,183.0,24.6,106109,Alex Bolt,L,183.0,25.9,6-3 6-0,R32,72.0,715.0,154.0,352.0
Hard,32,A,20181231,200282,Alex De Minaur,R,183.0,19.8,200615,Alexei Popyrin,R,196.0,19.4,6-2 6-2,R32,31.0,1298.0,147.0,367.0
Hard,32,A,20181231,104918,Andy Murray,R,190.0,31.6,105902,James Duckworth,R,183.0,26.9,6-3 6-4,R32,240.0,200.0,234.0,206.0
Hard,32,A,20181231,200175,Miomir Kecmanovic,R,183.0,19.3,104919,Leonardo Mayer,R,188.0,31.6,6-3 6-1,R32,131.0,433.0,56.0,895.0
Hard,32,A,20181231,105683,Milos Raonic,R,196.0,28.0,105379,Aljaz Bedene,R,181.0,29.4,6-0 6-3,R32,18.0,1855.0,67.0,780.0
Hard,32,A,20181231,106401,Nick Kyrgios,R,193.0,23.6,105992,Ryan Harrison,R,183.0,26.6,7-6(5) 5-7 7-6(5),R32,35.0,1125.0,62.0,810.0
Hard,32,A,20181231,104871,Jeremy Chardy,R,188.0,31.8,105526,Jan Lennard Struff,R,193.0,28.6,4-6 6-3 6-4,R32,40.0,1050.0,57.0,875.0
Hard,32,A,20181231,106034,Yasutaka Uchiyama,R,183.0,26.4,200005,Ugo Humbert,L,188.0,20.5,6-4 7-6(6),R32,185.0,275.0,102.0,572.0
Hard,32,A,20181231,105777,Grigor Dimitrov,R,188.0,27.6,106415,Yoshihito Nishioka,L,170.0,23.2,6-3 6-4,R32,19.0,1835.0,75.0,701.0
Hard,32,A,20181231,105357,John Millman,R,183.0,29.5,105815,Tennys Sandgren,R,188.0,27.4,7-6(6) 6-7(6) 6-0,R32,38.0,1083.0,61.0,814.0
Hard,32,A,20181231,106045,Denis Kudla,R,180.0,26.3,126203,Taylor Fritz,R,193.0,21.1,7-6(5) 6-7(2) 6-4,R32,63.0,810.0,49.0,974.0
Hard,32,A,20181231,105138,Roberto Bautista Agut,R,183.0,30.7,104607,Tomas Berdych,R,196.0,33.2,6-4 3-6 6-3,F,24.0,1605.0,71.0,715.0
Hard,32,A,20181231,105138,Roberto Bautista Agut,R,183.0,30.7,104925,Novak Djokovic,R,188.0,31.6,3-6 7-6(6) 6-4,SF,24.0,1605.0,1.0,9045.0
Hard,32,A,20181231,104607,Tomas Berdych,R,196.0,33.2,106065,Marco Cecchinato,R,185.0,26.2,7-6(6) 6-3,SF,71.0,715.0,20.0,1819.0
Hard,32,A,20181231,104925,Novak Djokovic,R,188.0,31.6,105932,Nikoloz Basilashvili,R,185.0,26.8,4-6 6-3 6-4,QF,1.0,9045.0,21.0,1795.0
Hard,32,A,20181231,105138,Roberto Bautista Agut,R,183.0,30.7,104527,Stan Wawrinka,R,183.0,33.7,6-4 6-4,QF,24.0,1605.0,66.0,785.0
Hard,32,A,20181231,106065,Marco Cecchinato,R,185.0,26.2,105583,Dusan Lajovic,R,180.0,28.5,7-6(2) 6-2,QF,20.0,1819.0,48.0,985.0
Hard,32,A,20181231,104607,Tomas Berdych,R,196.0,33.2,105732,Pierre Hugues Herbert,R,188.0,27.7,6-2 6-4,QF,71.0,715.0,55.0,903.0
Hard,32,A,20181231,104925,Novak Djokovic,R,188.0,31.6,105916,Marton Fucsovics,R,188.0,26.8,4-6 6-4 6-1,R16,1.0,9045.0,36.0,1122.0
Hard,32,A,20181231,105932,Nikoloz Basilashvili,R,185.0,26.8,126094,Andrey Rublev,R,188.0,21.1,6-3 6-4,R16,21.0,1795.0,68.0,760.0
Hard,32,A,20181231,104527,Stan Wawrinka,R,183.0,33.7,111797,Nicolas Jarry,R,198.0,23.2,6-4 7-6(3),R16,66.0,785.0,43.0,1022.0
Hard,32,A,20181231,105138,Roberto Bautista Agut,R,183.0,30.7,104198,Guillermo Garcia Lopez,R,188.0,35.5,6-1 6-4,R16,24.0,1605.0,105.0,543.0
Hard,32,A,20181231,105583,Dusan Lajovic,R,180.0,28.5,105575,Ricardas Berankis,R,175.0,28.5,7-6(4) 0-6 7-5,R16,48.0,985.0,116.0,507.0
Hard,32,A,20181231,106065,Marco Cecchinato,R,185.0,26.2,105550,Guido Pella,L,185.0,28.6,W/O,R16,20.0,1819.0,58.0,860.0
Hard,32,A,20181231,104607,Tomas Berdych,R,196.0,33.2,104269,Fernando Verdasco,L,188.0,35.1,4-6 6-3 7-5,R16,71.0,715.0,28.0,1410.0
