surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Clay,32,A,20210426,105932,Nikoloz Basilashvili,R,185.0,29.1,105526,Jan Lennard Struff,R,193.0,31.0,6-4 7-6(5),F,35.0,1645.0,44.0,1440.0
Grass,32,A,20210614,133430,Denis Shapovalov,L,185.0,22.1,126846,Aleksandar Vukic,R,188.0,25.1,7-6(6) 7-6(6),R32,14.0,2780.0,207.0,327.0
Grass,32,A,20210614,103852,Feliciano Lopez,L,188.0,39.7,105011,Illya Marchenko,R,185.0,33.7,6-1 7-6(6),R32,64.0,1080.0,155.0,457.0
Grass,32,A,20210614,126207,Frances Tiafoe,R,188.0,23.3,105379,Aljaz Bedene,R,181.0,31.9,4-6 6-3 6-4,R32,65.0,1078.0,60.0,1121.0
Grass,32,A,20210614,104678,Viktor Troicki,R,193.0,35.3,132283,Lorenzo Sonego,R,191.0,26.0,6-4 6-4,R32,230.0,294.0,26.0,2042.0
Grass,32,A,20210614,207733,Jack Draper,L,191.0,19.4,206173,Jannik Sinner,R,188.0,19.8,7-6(6) 7-6(2),R32,309.0,168.0,23.0,2320.0
Grass,32,A,20210614,122330,Alexander Bublik,R,196.0,23.9,104871,Jeremy Chardy,R,188.0,34.3,6-4 3-6 6-3,R32,39.0,1591.0,59.0,1133.0
Grass,32,A,20210614,111815,Cameron Norrie,L,188.0,25.8,105077,Albert Ramos,L,188.0,33.4,4-6 6-3 6-4,R32,41.0,1510.0,38.0,1595.0
Grass,32,A,20210614,106234,Aslan Karatsev,R,185.0,27.7,126214,Alejandro Tabilo,L,188.0,24.0,3-6 6-4 6-2,R32,24.0,2274.0,171.0,418.0
Grass,32,A,20210614,104926,Fabio Fognini,R,178.0,34.0,104229,Yen Hsun Lu,R,180.0,37.8,6-4 7-6(3),R32,29.0,1843.0,624.0,45.0
Grass,32,A,20210614,105227,Marin Cilic,R,198.0,32.7,124116,Sebastian Ofner,R,191.0,25.0,6-2 6-7(5) 7-6(4),R32,37.0,1615.0,174.0,409.0
Grass,32,A,20210614,105357,John Millman,R,183.0,32.0,124187,Reilly Opelka,R,211.0,23.7,7-6(4) 5-7 7-6(6),R32,43.0,1496.0,32.0,1806.0
Grass,32,A,20210614,200282,Alex De Minaur,R,183.0,22.3,111513,Laslo Djere,R,188.0,26.0,3-6 6-3 6-4,R32,22.0,2350.0,55.0,1168.0
Grass,32,A,20210614,105554,Daniel Evans,R,175.0,31.0,200615,Alexei Popyrin,R,196.0,21.8,6-4 6-4,R32,25.0,2106.0,67.0,1019.0
Grass,32,A,20210614,105173,Adrian Mannarino,L,183.0,32.9,106281,Liam Broady,L,183.0,27.4,6-4 6-4,R32,42.0,1501.0,146.0,499.0
Grass,32,A,20210614,104918,Andy Murray,R,190.0,34.0,105332,Benoit Paire,R,196.0,32.1,6-3 6-2,R32,124.0,640.0,46.0,1387.0
Grass,32,A,20210614,126610,Matteo Berrettini,R,196.0,25.1,105882,Stefano Travaglia,R,185.0,29.4,7-6(5) 7-6(4),R32,9.0,4103.0,88.0,870.0
Grass,32,A,20210614,133430,Denis Shapovalov,L,185.0,22.1,103852,Feliciano Lopez,L,188.0,39.7,6-2 6-3,R16,14.0,2780.0,64.0,1080.0
Grass,32,A,20210614,126207,Frances Tiafoe,R,188.0,23.3,104678,Viktor Troicki,R,193.0,35.3,6-3 7-6(3),R16,65.0,1078.0,230.0,294.0
Grass,32,A,20210614,207733,Jack Draper,L,191.0,19.4,122330,Alexander Bublik,R,196.0,23.9,7-6(5) 7-6(0),R16,309.0,168.0,39.0,1591.0
Grass,32,A,20210614,111815,Cameron Norrie,L,188.0,25.8,106234,Aslan Karatsev,R,185.0,27.7,7-5 6-2,R16,41.0,1510.0,24.0,2274.0
Grass,32,A,20210614,105227,Marin Cilic,R,198.0,32.7,104926,Fabio Fognini,R,178.0,34.0,6-3 7-6(4),R16,37.0,1615.0,29.0,1843.0
Grass,32,A,20210614,200282,Alex De Minaur,R,183.0,22.3,105357,John Millman,R,183.0,32.0,6-1 6-3,R16,22.0,2350.0,43.0,1496.0
Grass,32,A,20210614,105554,Daniel Evans,R,175.0,31.0,105173,Adrian Mannarino,L,183.0,32.9,6-4 7-6(7),R16,25.0,2106.0,42.0,1501.0
Grass,32,A,20210614,126610,Matteo Berrettini,R,196.0,25.1,104918,Andy Murray,R,190.0,34.0,6-3 6-3,R16,9.0,4103.0,124.0,640.0
Grass,32,A,20210614,133430,Denis Shapovalov,L,185.0,22.1,126207,Frances Tiafoe,R,188.0,23.3,6-3 6-4,QF,14.0,2780.0,65.0,1078.0
Grass,32,A,20210614,111815,Cameron Norrie,L,188.0,25.8,207733,Jack Draper,L,191.0,19.4,6-3 6-3,QF,41.0,1510.0,309.0,168.0
Grass,32,A,20210614,200282,Alex De Minaur,R,183.0,22.3,105227,Marin Cilic,R,198.0,32.7,3-6 6-3 6-4,QF,22.0,2350.0,37.0,1615.0
Grass,32,A,20210614,126610,Matteo Berrettini,R,196.0,25.1,105554,Daniel Evans,R,175.0,31.0,7-6(5) 6-3,QF,9.0,4103.0,25.0,2106.0
Grass,32,A,20210614,111815,Cameron Norrie,L,188.0,25.8,133430,Denis Shapovalov,L,185.0,22.1,7-5 6-3,SF,41.0,1510.0,14.0,2780.0
Grass,32,A,20210614,126610,Matteo Berrettini,R,196.0,25.1,200282,Alex De Minaur,R,183.0,22.3,6-4 6-4,SF,9.0,4103.0,22.0,2350.0
Grass,32,A,20210614,126610,Matteo Berrettini,R,196.0,25.1,111815,Cameron Norrie,L,188.0,25.8,6-4 6-7(5) 6-3,F,9.0,4103.0,41.0,1510.0
Clay,32,A,20210719,126239,Arthur Rinderknech,R,196.0,25.9,208502,Dominic Stricker,L,180.0,18.9,6-4 6-4,R32,100.0,805.0,281.0,200.0
Clay,32,A,20210719,200267,Zizou Bergs,R,185.0,22.1,106214,Oscar Otte,R,196.0,28.0,7-6(3) 6-1,R32,212.0,331.0,141.0,539.0
Clay,32,A,20210719,111513,Laslo Djere,R,188.0,26.1,205734,Thiago Seyboth Wild,R,185.0,21.3,6-4 6-3,R32,52.0,1278.0,118.0,695.0
Clay,32,A,20210719,117360,Marc Polmans,R,188.0,24.2,105757,Sandro Ehrat,R,180.0,30.2,7-5 6-3,R32,147.0,522.0,408.0,101.0
Clay,32,A,20210719,200384,Hugo Gaston,L,173.0,20.8,207678,Juan Manuel Cerundolo,L,183.0,19.6,6-4 6-2,R32,155.0,489.0,144.0,527.0
Clay,32,A,20210719,105643,Federico Delbonis,L,190.0,30.7,209857,Leandro Riedi,R,191.0,19.4,6-3 6-3,R32,46.0,1435.0,748.0,28.0
Clay,32,A,20210719,105332,Benoit Paire,R,196.0,32.1,106075,Jozef Kovalik,R,183.0,28.7,6-3 7-6(2),R32,49.0,1364.0,130.0,633.0
Clay,32,A,20210719,134868,Tallon Griekspoor,R,188.0,25.0,106228,Juan Ignacio Londero,R,180.0,27.9,7-5 4-6 7-6(1),R32,105.0,772.0,140.0,548.0
Clay,32,A,20210719,110602,Dennis Novak,R,183.0,27.8,200390,Kacper Zuk,R,183.0,22.4,6-4 6-4,R32,124.0,652.0,170.0,428.0
Clay,32,A,20210719,103852,Feliciano Lopez,L,188.0,39.8,144817,Marc Andrea Huesler,L,196.0,25.0,6-4 4-6 6-5 RET,R32,89.0,843.0,162.0,467.0
Clay,32,A,20210719,144707,Mikael Ymer,R,183.0,22.8,111505,Enzo Couacaud,R,183.0,26.3,4-6 6-3 6-3,R32,96.0,817.0,180.0,397.0
Clay,32,A,20210719,200240,Vit Kopriva,U,178.0,24.0,126627,Johan Nikles,R,170.0,24.3,6-2 6-1,R32,249.0,262.0,409.0,101.0
Clay,32,A,20210719,126239,Arthur Rinderknech,R,196.0,25.9,105138,Roberto Bautista Agut,R,183.0,33.2,6-2 6-4,R16,100.0,805.0,16.0,2720.0
Clay,32,A,20210719,111513,Laslo Djere,R,188.0,26.1,200267,Zizou Bergs,R,185.0,22.1,6-2 4-6 6-2,R16,52.0,1278.0,212.0,331.0
Clay,32,A,20210719,106426,Cristian Garin,R,185.0,25.1,117360,Marc Polmans,R,188.0,24.2,6-3 6-0,R16,19.0,2520.0,147.0,522.0
Clay,32,A,20210719,200384,Hugo Gaston,L,173.0,20.8,105643,Federico Delbonis,L,190.0,30.7,6-0 6-7(2) 7-6(3),R16,155.0,489.0,46.0,1435.0
Clay,32,A,20210719,105332,Benoit Paire,R,196.0,32.1,134868,Tallon Griekspoor,R,188.0,25.0,6-4 0-0 RET,R16,49.0,1364.0,105.0,772.0
Clay,32,A,20210719,134770,Casper Ruud,R,183.0,22.5,110602,Dennis Novak,R,183.0,27.8,6-4 7-6(5),R16,14.0,2840.0,124.0,652.0
Clay,32,A,20210719,144707,Mikael Ymer,R,183.0,22.8,103852,Feliciano Lopez,L,188.0,39.8,6-7(6) 7-6(7) 6-4,R16,96.0,817.0,89.0,843.0
Clay,32,A,20210719,200240,Vit Kopriva,U,178.0,24.0,133430,Denis Shapovalov,L,185.0,22.2,2-6 6-3 6-2,R16,249.0,262.0,10.0,3625.0
Clay,32,A,20210719,111513,Laslo Djere,R,188.0,26.1,126239,Arthur Rinderknech,R,196.0,25.9,6-4 6-7(5) 6-4,QF,52.0,1278.0,100.0,805.0
Clay,32,A,20210719,200384,Hugo Gaston,L,173.0,20.8,106426,Cristian Garin,R,185.0,25.1,6-4 1-6 7-6(11),QF,155.0,489.0,19.0,2520.0
Clay,32,A,20210719,134770,Casper Ruud,R,183.0,22.5,105332,Benoit Paire,R,196.0,32.1,6-2 5-7 6-3,QF,14.0,2840.0,49.0,1364.0
Clay,32,A,20210719,200240,Vit Kopriva,U,178.0,24.0,144707,Mikael Ymer,R,183.0,22.8,6-1 6-0,QF,249.0,262.0,96.0,817.0
Clay,32,A,20210719,200384,Hugo Gaston,L,173.0,20.8,111513,Laslo Djere,R,188.0,26.1,3-6 6-3 6-3,SF,155.0,489.0,52.0,1278.0
Clay,32,A,20210719,134770,Casper Ruud,R,183.0,22.5,200240,Vit Kopriva,U,178.0,24.0,6-3 6-0,SF,14.0,2840.0,249.0,262.0
Clay,32,A,20210719,134770,Casper Ruud,R,183.0,22.5,200384,Hugo Gaston,L,173.0,20.8,6-3 6-2,F,14.0,2840.0,155.0,489.0
Grass,32,A,20210712,202195,Maxime Cressy,R,198.0,24.1,103893,Paolo Lorenzi,R,183.0,39.5,6-1 6-2,R32,155.0,473.0,171.0,425.0
Grass,32,A,20210712,105216,Yuichi Sugita,R,173.0,32.8,200514,Jurij Rodionov,L,191.0,22.1,7-5 6-3,R32,111.0,713.0,138.0,572.0
