surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,32,A,20170102,104678,Viktor Troicki,R,193.0,30.8,106415,Yoshihito Nishioka,L,170.0,21.2,6-4 7-5,R32,29.0,1385.0,100.0,604.0
Hard,32,A,20170102,106378,Kyle Edmund,R,188.0,21.9,124014,Ernesto Escobedo,R,185.0,20.4,7-6(4) 7-6(6),R32,45.0,1001.0,141.0,443.0
Hard,32,A,20170102,106298,Lucas Pouille,R,185.0,22.8,104468,Gilles Simon,R,183.0,32.0,7-6(6) 7-6(4),R32,15.0,2156.0,25.0,1585.0
Hard,32,A,20170102,111577,Jared Donaldson,R,188.0,20.2,104180,Gilles Muller,L,193.0,33.6,6-4 6-4,R32,105.0,570.0,34.0,1255.0
Hard,32,A,20170102,111442,Jordan Thompson,R,183.0,22.7,111200,Elias Ymer,R,183.0,20.7,6-3 6-2,R32,79.0,689.0,160.0,372.0
Hard,32,A,20170102,103970,David Ferrer,R,175.0,34.7,106071,Bernard Tomic,R,193.0,24.1,6-3 7-5,R32,21.0,1785.0,26.0,1465.0
Hard,32,A,20170102,105777,Grigor Dimitrov,R,188.0,25.6,105449,Steve Johnson,R,188.0,27.0,6-2 6-3,R32,17.0,2035.0,33.0,1320.0
Hard,32,A,20170102,103917,Nicolas Mahut,R,190.0,34.9,103565,Stephane Robert,R,185.0,36.6,4-6 6-3 6-4,R32,39.0,1102.0,54.0,854.0
Hard,32,A,20170102,105032,Sam Groth,R,193.0,29.2,105732,Pierre Hugues Herbert,R,188.0,25.7,6-3 5-7 7-5,R32,180.0,320.0,78.0,698.0
Hard,32,A,20170102,104745,Rafael Nadal,L,185.0,30.5,105238,Alexandr Dolgopolov,R,180.0,28.1,6-3 6-3,R32,9.0,3300.0,62.0,760.0
Hard,32,A,20170102,104999,Mischa Zverev,L,190.0,29.3,200282,Alex De Minaur,R,183.0,17.8,6-3 6-3,R32,51.0,874.0,351.0,132.0
Hard,32,A,20170102,106043,Diego Schwartzman,R,170.0,24.3,105023,Sam Querrey,R,198.0,29.2,6-2 6-4,R32,52.0,864.0,31.0,1355.0
Hard,32,A,20170102,104527,Stan Wawrinka,R,183.0,31.7,104678,Viktor Troicki,R,193.0,30.8,7-6(5) 6-4,R16,4.0,5315.0,29.0,1385.0
Hard,32,A,20170102,106378,Kyle Edmund,R,188.0,21.9,106298,Lucas Pouille,R,185.0,22.8,6-3 3-1 RET,R16,45.0,1001.0,15.0,2156.0
Hard,32,A,20170102,105453,Kei Nishikori,R,178.0,27.0,111577,Jared Donaldson,R,188.0,20.2,4-6 6-4 6-3,R16,5.0,4905.0,105.0,570.0
Hard,32,A,20170102,111442,Jordan Thompson,R,183.0,22.7,103970,David Ferrer,R,175.0,34.7,4-6 7-5 7-5,R16,79.0,689.0,21.0,1785.0
Hard,32,A,20170102,105777,Grigor Dimitrov,R,188.0,25.6,103917,Nicolas Mahut,R,190.0,34.9,6-2 6-4,R16,17.0,2035.0,39.0,1102.0
Hard,32,A,20170102,106233,Dominic Thiem,R,185.0,23.3,105032,Sam Groth,R,193.0,29.2,7-6(5) 6-3,R16,8.0,3415.0,180.0,320.0
Hard,32,A,20170102,104745,Rafael Nadal,L,185.0,30.5,104999,Mischa Zverev,L,190.0,29.3,6-1 6-1,R16,9.0,3300.0,51.0,874.0
Hard,32,A,20170102,105683,Milos Raonic,R,196.0,26.0,106043,Diego Schwartzman,R,170.0,24.3,6-3 6-2,R16,3.0,5450.0,52.0,864.0
Hard,32,A,20170102,104527,Stan Wawrinka,R,183.0,31.7,106378,Kyle Edmund,R,188.0,21.9,6-7(2) 6-4 6-4,QF,4.0,5315.0,45.0,1001.0
Hard,32,A,20170102,105453,Kei Nishikori,R,178.0,27.0,111442,Jordan Thompson,R,183.0,22.7,6-1 6-1,QF,5.0,4905.0,79.0,689.0
Hard,32,A,20170102,105777,Grigor Dimitrov,R,188.0,25.6,106233,Dominic Thiem,R,185.0,23.3,6-3 4-6 6-3,QF,17.0,2035.0,8.0,3415.0
Hard,32,A,20170102,105683,Milos Raonic,R,196.0,26.0,104745,Rafael Nadal,L,185.0,30.5,4-6 6-3 6-4,QF,3.0,5450.0,9.0,3300.0
Hard,32,A,20170102,105453,Kei Nishikori,R,178.0,27.0,104527,Stan Wawrinka,R,183.0,31.7,7-6(3) 6-3,SF,5.0,4905.0,4.0,5315.0
Hard,32,A,20170102,105777,Grigor Dimitrov,R,188.0,25.6,105683,Milos Raonic,R,196.0,26.0,7-6(7) 6-2,SF,17.0,2035.0,3.0,5450.0
Hard,32,A,20170102,105777,Grigor Dimitrov,R,188.0,25.6,105453,Kei Nishikori,R,178.0,27.0,6-2 2-6 6-3,F,17.0,2035.0,5.0,4905.0
Hard,32,A,20170102,104297,Rogerio Dutra Silva,R,178.0,32.9,105583,Dusan Lajovic,R,180.0,26.5,7-6(2) 4-6 7-6(3),R32,98.0,613.0,93.0,627.0
Hard,32,A,20170102,105952,Renzo Olivo,R,180.0,24.8,134770,Casper Ruud,R,183.0,18.0,7-6(3) 6-2,R32,83.0,670.0,225.0,231.0
Hard,32,A,20170102,104022,Mikhail Youzhny,R,183.0,34.5,105031,Saketh Myneni,R,193.0,29.2,6-4 6-3,R32,57.0,826.0,192.0,287.0
Hard,32,A,20170102,105379,Aljaz Bedene,R,181.0,27.4,104198,Guillermo Garcia Lopez,R,188.0,33.5,6-3 6-3,R32,101.0,592.0,70.0,725.0
Hard,32,A,20170102,106026,Yuki Bhambri,R,183.0,24.4,106368,Ramkumar Ramanathan,R,188.0,22.1,6-1 6-1,R32,474.0,83.0,227.0,231.0
Hard,32,A,20170102,105332,Benoit Paire,R,196.0,27.6,104505,Konstantin Kravchuk,R,190.0,31.8,6-3 6-4,R32,47.0,960.0,85.0,660.0
Hard,32,A,20170102,111202,Hyeon Chung,R,188.0,20.6,106432,Borna Coric,R,188.0,20.1,6-3 7-5,R32,104.0,571.0,48.0,945.0
Hard,32,A,20170102,104534,Dudi Sela,R,175.0,31.7,106000,Damir Dzumhur,R,172.0,24.6,6-2 6-2,R32,96.0,616.0,77.0,699.0
Hard,32,A,20170102,104327,Steve Darcis,R,178.0,32.8,105254,Nikola Mektic,R,183.0,28.0,6-2 6-3,R32,86.0,658.0,331.0,144.0
Hard,32,A,20170102,104229,Yen Hsun Lu,R,180.0,33.3,105430,Radu Albot,R,175.0,27.1,6-2 6-1,R32,64.0,754.0,97.0,614.0
Hard,32,A,20170102,106421,Daniil Medvedev,R,198.0,20.8,106329,Thiago Monteiro,L,183.0,22.5,6-3 6-3,R32,99.0,611.0,82.0,674.0
Hard,32,A,20170102,106075,Jozef Kovalik,R,183.0,24.1,105671,Gastao Elias,R,178.0,26.1,6-7(5) 6-4 6-2,R32,117.0,501.0,81.0,675.0
Hard,32,A,20170102,105138,Roberto Bautista Agut,R,183.0,28.7,104297,Rogerio Dutra Silva,R,178.0,32.9,6-3 6-2,R16,14.0,2350.0,98.0,613.0
Hard,32,A,20170102,104022,Mikhail Youzhny,R,183.0,34.5,105952,Renzo Olivo,R,180.0,24.8,6-1 7-5,R16,57.0,826.0,83.0,670.0
Hard,32,A,20170102,105379,Aljaz Bedene,R,181.0,27.4,105373,Martin Klizan,L,190.0,27.4,7-6(3) 6-7(3) 7-6(2),R16,101.0,592.0,35.0,1230.0
Hard,32,A,20170102,105332,Benoit Paire,R,196.0,27.6,106026,Yuki Bhambri,R,183.0,24.4,6-3 6-4,R16,47.0,960.0,474.0,83.0
Hard,32,A,20170102,104534,Dudi Sela,R,175.0,31.7,111202,Hyeon Chung,R,188.0,20.6,6-2 6-2,R16,96.0,616.0,104.0,571.0
Hard,32,A,20170102,105077,Albert Ramos,L,188.0,28.9,104327,Steve Darcis,R,178.0,32.8,6-2 6-0,R16,27.0,1435.0,86.0,658.0
Hard,32,A,20170102,106421,Daniil Medvedev,R,198.0,20.8,104229,Yen Hsun Lu,R,180.0,33.3,6-4 6-3,R16,99.0,611.0,64.0,754.0
Hard,32,A,20170102,106075,Jozef Kovalik,R,183.0,24.1,105227,Marin Cilic,R,198.0,28.2,7-6(5) 5-7 7-5,R16,117.0,501.0,6.0,3650.0
Hard,32,A,20170102,105138,Roberto Bautista Agut,R,183.0,28.7,104022,Mikhail Youzhny,R,183.0,34.5,2-6 6-4 6-4,QF,14.0,2350.0,57.0,826.0
Hard,32,A,20170102,105332,Benoit Paire,R,196.0,27.6,105379,Aljaz Bedene,R,181.0,27.4,6-3 6-0,QF,47.0,960.0,101.0,592.0
Hard,32,A,20170102,104534,Dudi Sela,R,175.0,31.7,105077,Albert Ramos,L,188.0,28.9,7-5 6-4,QF,96.0,616.0,27.0,1435.0
Hard,32,A,20170102,106421,Daniil Medvedev,R,198.0,20.8,106075,Jozef Kovalik,R,183.0,24.1,6-1 6-4,QF,99.0,611.0,117.0,501.0
Hard,32,A,20170102,105138,Roberto Bautista Agut,R,183.0,28.7,105332,Benoit Paire,R,196.0,27.6,6-3 6-3,SF,14.0,2350.0,47.0,960.0
Hard,32,A,20170102,106421,Daniil Medvedev,R,198.0,20.8,104534,Dudi Sela,R,175.0,31.7,4-6 7-6(2) 6-2,SF,99.0,611.0,96.0,616.0
Hard,32,A,20170102,105138,Roberto Bautista Agut,R,183.0,28.7,106421,Daniil Medvedev,R,198.0,20.8,6-3 6-4,F,14.0,2350.0,99.0,611.0
Hard,32,A,20170102,104925,Novak Djokovic,R,188.0,29.6,105526,Jan Lennard Struff,R,193.0,26.6,7-6(1) 6-3,R32,2.0,11780.0,63.0,758.0
Hard,32,A,20170102,104547,Horacio Zeballos,L,188.0,31.6,104252,Florian Mayer,R,190.0,33.2,6-7(3) 6-4 7-6(9),R32,71.0,722.0,50.0,903.0
Hard,32,A,20170102,105963,Arthur De Greef,R,183.0,24.7,105633,Mohamed Safwat,R,183.0,26.2,6-7(8) 7-5 6-4,R32,134.0,456.0,199.0,278.0
Hard,32,A,20170102,103285,Radek Stepanek,R,185.0,38.0,104571,Marcos Baghdatis,R,183.0,31.5,6-4 5-3 RET,R32,107.0,558.0,36.0,1140.0
Hard,32,A,20170102,105676,David Goffin,R,180.0,26.0,104898,Robin Haase,R,190.0,29.7,7-6(4) 6-2,R32,11.0,2750.0,59.0,795.0
Hard,32,A,20170102,104269,Fernando Verdasco,L,188.0,33.1,105577,Vasek Pospisil,R,193.0,26.5,7-5 6-0,R32,42.0,1035.0,133.0,456.0
Hard,32,A,20170102,111575,Karen Khachanov,R,198.0,20.6,122570,Mubarak Shannan Zayid,U,,21.7,6-1 6-3,R32,53.0,863.0,1277.0,5.0
Hard,32,A,20170102,103333,Ivo Karlovic,R,208.0,37.8,105011,Illya Marchenko,R,185.0,29.3,7-6(5) 7-6(0),R32,20.0,1795.0,74.0,705.0
Hard,32,A,20170102,104542,Jo-Wilfried Tsonga,R,188.0,31.7,105723,Andrey Kuznetsov,R,185.0,25.8,6-1 4-6 6-2,R32,12.0,2550.0,46.0,970.0
Hard,32,A,20170102,104460,Dustin Brown,R,196.0,32.0,105487,Facundo Bagnis,L,183.0,26.8,6-1 6-7(2) 6-4,R32,72.0,710.0,56.0,835.0
Hard,32,A,20170102,106210,Jiri Vesely,L,198.0,23.4,105551,Anil Yuksel,L,,26.6,6-2 6-3,R32,55.0,848.0,507.0,73.0
Hard,32,A,20170102,104607,Tomas Berdych,R,196.0,31.2,105561,Alessandro Giannessi,L,183.0,26.5,7-6(1) 6-2,R32,10.0,3060.0,128.0,475.0
Hard,32,A,20170102,104259,Philipp Kohlschreiber,R,178.0,33.2,104291,Malek Jaziri,R,185.0,32.9,6-2 7-6(3),R32,32.0,1325.0,58.0,814.0
Hard,32,A,20170102,104597,Nicolas Almagro,R,183.0,31.3,103893,Paolo Lorenzi,R,183.0,35.0,7-6(2) 4-6 6-3,R32,44.0,1013.0,40.0,1090.0
Hard,32,A,20170102,105589,Gerald Melzer,L,188.0,26.4,103908,Paul Henri Mathieu,R,185.0,34.9,6-7(2) 6-3 6-2,R32,68.0,728.0,73.0,710.0
Hard,32,A,20170102,104918,Andy Murray,R,190.0,29.6,104871,Jeremy Chardy,R,188.0,29.8,6-0 7-6(2),R32,1.0,12410.0,69.0,725.0
Hard,32,A,20170102,104925,Novak Djokovic,R,188.0,29.6,104547,Horacio Zeballos,L,188.0,31.6,6-3 6-4,R16,2.0,11780.0,71.0,722.0
Hard,32,A,20170102,103285,Radek Stepanek,R,185.0,38.0,105963,Arthur De Greef,R,183.0,24.7,6-3 6-2,R16,107.0,558.0,134.0,456.0
Hard,32,A,20170102,104269,Fernando Verdasco,L,188.0,33.1,105676,David Goffin,R,180.0,26.0,6-1 7-6(6),R16,42.0,1035.0,11.0,2750.0
Hard,32,A,20170102,103333,Ivo Karlovic,R,208.0,37.8,111575,Karen Khachanov,R,198.0,20.6,7-6(3) 7-6(3),R16,20.0,1795.0,53.0,863.0
Hard,32,A,20170102,104542,Jo-Wilfried Tsonga,R,188.0,31.7,104460,Dustin Brown,R,196.0,32.0,6-1 6-3,R16,12.0,2550.0,72.0,710.0
Hard,32,A,20170102,104607,Tomas Berdych,R,196.0,31.2,106210,Jiri Vesely,L,198.0,23.4,7-6(5) 1-6 6-1,R16,10.0,3060.0,55.0,848.0
Hard,32,A,20170102,104597,Nicolas Almagro,R,183.0,31.3,104259,Philipp Kohlschreiber,R,178.0,33.2,7-6(5) 7-6(6),R16,44.0,1013.0,32.0,1325.0
Hard,32,A,20170102,104918,Andy Murray,R,190.0,29.6,105589,Gerald Melzer,L,188.0,26.4,7-6(6) 7-5,R16,1.0,12410.0,68.0,728.0
Hard,32,A,20170102,104925,Novak Djokovic,R,188.0,29.6,103285,Radek Stepanek,R,185.0,38.0,6-3 6-3,QF,2.0,11780.0,107.0,558.0
Hard,32,A,20170102,104269,Fernando Verdasco,L,188.0,33.1,103333,Ivo Karlovic,R,208.0,37.8,6-2 7-5,QF,42.0,1035.0,20.0,1795.0
Hard,32,A,20170102,104607,Tomas Berdych,R,196.0,31.2,104542,Jo-Wilfried Tsonga,R,188.0,31.7,7-5 6-3,QF,10.0,3060.0,12.0,2550.0
Hard,32,A,20170102,104918,Andy Murray,R,190.0,29.6,104597,Nicolas Almagro,R,183.0,31.3,7-6(4) 7-5,QF,1.0,12410.0,44.0,1013.0
Hard,32,A,20170102,104925,Novak Djokovic,R,188.0,29.6,104269,Fernando Verdasco,L,188.0,33.1,4-6 7-6(7) 6-3,SF,2.0,11780.0,42.0,1035.0
Hard,32,A,20170102,104918,Andy Murray,R,190.0,29.6,104607,Tomas Berdych,R,196.0,31.2,6-3 6-4,SF,1.0,12410.0,10.0,3060.0
Hard,32,A,20170102,104925,Novak Djokovic,R,188.0,29.6,104918,Andy Murray,R,190.0,29.6,6-3 5-7 6-4,F,2.0,11780.0,1.0,12410.0
Hard,32,A,20170109,104291,Malek Jaziri,R,185.0,32.9,106043,Diego Schwartzman,R,170.0,24.3,7-6(1) 6-3,R32,56.0,814.0,52.0,867.0
Hard,32,A,20170109,104229,Yen Hsun Lu,R,180.0,33.4,111575,Karen Khachanov,R,198.0,20.6,4-6 7-6(5) 7-6(9),R32,61.0,774.0,51.0,875.0
Hard,32,A,20170109,105449,Steve Johnson,R,188.0,27.0,103565,Stephane Robert,R,185.0,36.6,6-4 6-3,R32,33.0,1320.0,53.0,854.0
Hard,32,A,20170109,105992,Ryan Harrison,R,183.0,24.6,104198,Guillermo Garcia Lopez,R,188.0,33.6,6-1 6-2,R32,89.0,632.0,74.0,700.0
Hard,32,A,20170109,104871,Jeremy Chardy,R,188.0,29.9,104677,Artem Sitak,R,185.0,30.9,6-4 6-2,R32,71.0,705.0,,
Hard,32,A,20170109,103852,Feliciano Lopez,L,188.0,35.3,105030,Michael Venus,R,191.0,29.2,3-6 6-4 6-3,R32,28.0,1410.0,1035.0,10.0
Hard,32,A,20170109,105311,Joao Sousa,R,185.0,27.7,105077,Albert Ramos,L,188.0,28.9,6-1 7-5,R32,44.0,1030.0,26.0,1435.0
Hard,32,A,20170109,105454,Brydan Klein,R,183.0,27.0,105487,Facundo Bagnis,L,183.0,26.8,6-1 6-7(6) 7-6(3),R32,324.0,148.0,55.0,817.0
Hard,32,A,20170109,104898,Robin Haase,R,190.0,29.7,110686,Finn Tearney,R,183.0,26.2,6-4 7-5,R32,58.0,795.0,447.0,90.0
Hard,32,A,20170109,104571,Marcos Baghdatis,R,183.0,31.5,105173,Adrian Mannarino,L,183.0,28.5,6-4 6-4,R32,36.0,1140.0,60.0,781.0
Hard,32,A,20170109,104460,Dustin Brown,R,196.0,32.0,111581,Michael Mmoh,R,188.0,18.9,7-6(4) 3-6 6-4,R32,70.0,718.0,195.0,285.0
Hard,32,A,20170109,106210,Jiri Vesely,L,198.0,23.5,104547,Horacio Zeballos,L,188.0,31.7,6-4 6-3,R32,54.0,848.0,69.0,725.0
Hard,32,A,20170109,104545,John Isner,R,206.0,31.7,104291,Malek Jaziri,R,185.0,32.9,6-3 3-6 7-6(6),R16,19.0,1850.0,56.0,814.0
Hard,32,A,20170109,105449,Steve Johnson,R,188.0,27.0,104229,Yen Hsun Lu,R,180.0,33.4,6-4 7-6(4),R16,33.0,1320.0,61.0,774.0
Hard,32,A,20170109,106058,Jack Sock,R,185.0,24.2,105992,Ryan Harrison,R,183.0,24.6,7-6(5) 4-6 6-1,R16,23.0,1710.0,89.0,632.0
Hard,32,A,20170109,104871,Jeremy Chardy,R,188.0,29.9,103852,Feliciano Lopez,L,188.0,35.3,W/O,R16,71.0,705.0,28.0,1410.0
Hard,32,A,20170109,105311,Joao Sousa,R,185.0,27.7,105454,Brydan Klein,R,183.0,27.0,6-3 6-4,R16,44.0,1030.0,324.0,148.0
Hard,32,A,20170109,104898,Robin Haase,R,190.0,29.7,103970,David Ferrer,R,175.0,34.7,2-6 6-4 7-6(4),R16,58.0,795.0,21.0,1785.0
Hard,32,A,20170109,104571,Marcos Baghdatis,R,183.0,31.5,104460,Dustin Brown,R,196.0,32.0,4-6 7-6(4) 6-4,R16,36.0,1140.0,70.0,718.0
Hard,32,A,20170109,106210,Jiri Vesely,L,198.0,23.5,104907,Jose Rubin Statham,R,183.0,29.7,6-7(6) 7-5 6-3,R16,54.0,848.0,434.0,94.0
Hard,32,A,20170109,105449,Steve Johnson,R,188.0,27.0,104545,John Isner,R,206.0,31.7,6-3 5-7 7-6(3),QF,33.0,1320.0,19.0,1850.0
Hard,32,A,20170109,106058,Jack Sock,R,185.0,24.2,104871,Jeremy Chardy,R,188.0,29.9,5-7 6-4 6-3,QF,23.0,1710.0,71.0,705.0
Hard,32,A,20170109,105311,Joao Sousa,R,185.0,27.7,104898,Robin Haase,R,190.0,29.7,6-3 6-2,QF,44.0,1030.0,58.0,795.0
Hard,32,A,20170109,104571,Marcos Baghdatis,R,183.0,31.5,106210,Jiri Vesely,L,198.0,23.5,6-2 6-4,QF,36.0,1140.0,54.0,848.0
Hard,32,A,20170109,106058,Jack Sock,R,185.0,24.2,105449,Steve Johnson,R,188.0,27.0,6-4 6-3,SF,23.0,1710.0,33.0,1320.0
Hard,32,A,20170109,105311,Joao Sousa,R,185.0,27.7,104571,Marcos Baghdatis,R,183.0,31.5,6-1 7-5,SF,44.0,1030.0,36.0,1140.0
Hard,32,A,20170109,106058,Jack Sock,R,185.0,24.2,105311,Joao Sousa,R,185.0,27.7,6-3 5-7 6-3,F,23.0,1710.0,44.0,1030.0
Hard,32,A,20170109,104180,Gilles Muller,L,193.0,33.6,104678,Viktor Troicki,R,193.0,30.9,6-3 7-6(6),SF,34.0,1255.0,29.0,1385.0
Hard,32,A,20170109,105554,Daniel Evans,R,175.0,26.6,105723,Andrey Kuznetsov,R,185.0,25.8,6-2 3-6 6-3,SF,67.0,736.0,48.0,935.0
Hard,32,A,20170109,103917,Nicolas Mahut,R,190.0,34.9,105064,Thomaz Bellucci,L,188.0,29.0,6-2 7-6(2),R32,38.0,1122.0,62.0,771.0
Hard,32,A,20170109,105881,Matthew Barton,R,191.0,25.0,106378,Kyle Edmund,R,188.0,22.0,7-6(3) 7-6(5),R32,198.0,282.0,45.0,989.0
Hard,32,A,20170109,104180,Gilles Muller,L,193.0,33.6,105238,Alexandr Dolgopolov,R,180.0,28.1,3-6 6-3 7-5,R32,34.0,1255.0,63.0,760.0
Hard,32,A,20170109,103893,Paolo Lorenzi,R,183.0,35.0,104252,Florian Mayer,R,190.0,33.2,7-6(4) 4-6 7-6(5),R32,41.0,1090.0,49.0,903.0
Hard,32,A,20170109,111442,Jordan Thompson,R,183.0,22.7,105932,Nikoloz Basilashvili,R,185.0,24.8,7-5 6-2,R32,75.0,699.0,94.0,624.0
Hard,32,A,20170109,104259,Philipp Kohlschreiber,R,178.0,33.2,104926,Fabio Fognini,R,178.0,29.6,6-4 6-4,R32,32.0,1325.0,47.0,945.0
Hard,32,A,20170109,105723,Andrey Kuznetsov,R,185.0,25.8,105373,Martin Klizan,L,190.0,27.4,2-6 6-1 3-0 RET,R32,48.0,935.0,35.0,1230.0
Hard,32,A,20170109,200282,Alex De Minaur,R,183.0,17.8,105332,Benoit Paire,R,196.0,27.6,6-3 3-6 7-6(1),R32,333.0,144.0,46.0,960.0
Hard,32,A,20170109,104999,Mischa Zverev,L,190.0,29.3,104597,Nicolas Almagro,R,183.0,31.3,6-4 6-2,R32,50.0,884.0,43.0,1040.0
Hard,32,A,20170109,104719,Marcel Granollers,R,190.0,30.7,105053,Santiago Giraldo,R,188.0,29.1,6-7(5) 7-5 6-3,R32,37.0,1136.0,90.0,632.0
Hard,32,A,20170109,105554,Daniel Evans,R,175.0,26.6,106329,Thiago Monteiro,L,183.0,22.6,6-3 4-6 6-3,R32,67.0,736.0,83.0,660.0
Hard,32,A,20170109,105671,Gastao Elias,R,178.0,26.1,106331,Christopher Oconnell,R,183.0,22.6,6-7(3) 6-4 6-1,R32,81.0,675.0,238.0,217.0
Hard,32,A,20170109,104655,Pablo Cuevas,R,180.0,31.0,103917,Nicolas Mahut,R,190.0,34.9,6-4 2-6 6-2,R16,22.0,1780.0,38.0,1122.0
Hard,32,A,20170109,104180,Gilles Muller,L,193.0,33.6,105881,Matthew Barton,R,191.0,25.0,6-1 3-6 6-4,R16,34.0,1255.0,198.0,282.0
Hard,32,A,20170109,104678,Viktor Troicki,R,193.0,30.9,103893,Paolo Lorenzi,R,183.0,35.0,6-3 6-4,R16,29.0,1385.0,41.0,1090.0
Hard,32,A,20170109,104259,Philipp Kohlschreiber,R,178.0,33.2,111442,Jordan Thompson,R,183.0,22.7,7-5 6-4,R16,32.0,1325.0,75.0,699.0
Hard,32,A,20170109,105723,Andrey Kuznetsov,R,185.0,25.8,200282,Alex De Minaur,R,183.0,17.8,6-2 0-0 RET,R16,48.0,935.0,333.0,144.0
Hard,32,A,20170109,105807,Pablo Carreno Busta,R,188.0,25.4,104999,Mischa Zverev,L,190.0,29.3,3-6 7-6(4) 6-3,R16,30.0,1370.0,50.0,884.0
Hard,32,A,20170109,105554,Daniel Evans,R,175.0,26.6,104719,Marcel Granollers,R,190.0,30.7,1-6 6-3 6-3,R16,67.0,736.0,37.0,1136.0
Hard,32,A,20170109,106233,Dominic Thiem,R,185.0,23.3,105671,Gastao Elias,R,178.0,26.1,6-7(5) 6-3 7-5,R16,8.0,3415.0,81.0,675.0
Hard,32,A,20170109,104180,Gilles Muller,L,193.0,33.6,104655,Pablo Cuevas,R,180.0,31.0,7-6(5) 6-4,QF,34.0,1255.0,22.0,1780.0
Hard,32,A,20170109,104678,Viktor Troicki,R,193.0,30.9,104259,Philipp Kohlschreiber,R,178.0,33.2,W/O,QF,29.0,1385.0,32.0,1325.0
Hard,32,A,20170109,105723,Andrey Kuznetsov,R,185.0,25.8,105807,Pablo Carreno Busta,R,188.0,25.4,2-6 6-4 6-1,QF,48.0,935.0,30.0,1370.0
Hard,32,A,20170109,105554,Daniel Evans,R,175.0,26.6,106233,Dominic Thiem,R,185.0,23.3,3-6 6-4 6-1,QF,67.0,736.0,8.0,3415.0
Hard,32,A,20170109,104180,Gilles Muller,L,193.0,33.6,105554,Daniel Evans,R,175.0,26.6,7-6(5) 6-2,F,34.0,1255.0,67.0,736.0
Hard,128,G,20170116,104918,Andy Murray,R,190.0,29.6,105011,Illya Marchenko,R,185.0,29.3,7-5 7-6(5) 6-2,R128,1.0,12560.0,95.0,624.0
