surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,24,A,20200106,104925,Novak Djokovic,R,188.0,32.6,104745,Rafael Nadal,L,185.0,33.5,6-2 7-6(4),F,2.0,9055.0,1.0,9985.0
Hard,24,A,20200106,105138,Roberto Bautista Agut,R,183.0,31.7,105583,Dusan Lajovic,R,180.0,29.5,7-5 6-1,F,10.0,2335.0,34.0,1251.0
Hard,24,A,20200106,104925,Novak Djokovic,R,188.0,32.6,106421,Daniil Medvedev,R,198.0,23.9,6-1 5-7 6-4,SF,2.0,9055.0,5.0,5705.0
Hard,24,A,20200106,105583,Dusan Lajovic,R,180.0,29.5,111575,Karen Khachanov,R,198.0,23.6,7-5 7-6(1),SF,34.0,1251.0,17.0,1840.0
Hard,24,A,20200106,104745,Rafael Nadal,L,185.0,33.5,200282,Alex De Minaur,R,183.0,20.8,4-6 7-5 6-1,SF,1.0,9985.0,18.0,1775.0
Hard,24,A,20200106,105138,Roberto Bautista Agut,R,183.0,31.7,106401,Nick Kyrgios,R,193.0,24.6,6-1 6-4,SF,10.0,2335.0,29.0,1375.0
Hard,24,A,20200106,104925,Novak Djokovic,R,188.0,32.6,133430,Denis Shapovalov,L,185.0,20.7,4-6 6-1 7-6(4),QF,2.0,9055.0,14.0,2050.0
Hard,24,A,20200106,105583,Dusan Lajovic,R,180.0,29.5,200000,Felix Auger Aliassime,R,193.0,19.4,6-4 6-2,QF,34.0,1251.0,21.0,1636.0
Hard,24,A,20200106,106421,Daniil Medvedev,R,198.0,23.9,106043,Diego Schwartzman,R,170.0,27.3,6-4 4-6 6-3,QF,5.0,5705.0,13.0,2125.0
Hard,24,A,20200106,111575,Karen Khachanov,R,198.0,23.6,105550,Guido Pella,L,185.0,29.6,6-2 7-6(4),QF,17.0,1840.0,25.0,1530.0
Hard,24,A,20200106,105554,Daniel Evans,R,175.0,29.6,200282,Alex De Minaur,R,183.0,20.8,7-6(4) 4-6 7-6(2),QF,42.0,1124.0,18.0,1775.0
Hard,24,A,20200106,106401,Nick Kyrgios,R,193.0,24.6,111815,Cameron Norrie,L,188.0,24.3,6-2 6-2,QF,29.0,1375.0,52.0,975.0
Hard,24,A,20200106,105676,David Goffin,R,180.0,29.0,104745,Rafael Nadal,L,185.0,33.5,6-4 7-6(3),QF,11.0,2335.0,1.0,9985.0
Hard,24,A,20200106,105138,Roberto Bautista Agut,R,183.0,31.7,106293,Kimmer Coppejans,R,180.0,25.9,6-1 6-4,QF,10.0,2335.0,158.0,328.0
Hard,24,A,20200106,104925,Novak Djokovic,R,188.0,32.6,104792,Gael Monfils,R,193.0,33.3,6-3 6-2,RR,2.0,9055.0,9.0,2530.0
Hard,24,A,20200106,105332,Benoit Paire,R,196.0,30.6,105583,Dusan Lajovic,R,180.0,29.5,6-2 6-7(6) 6-4,RR,24.0,1538.0,34.0,1251.0
Hard,24,A,20200106,104925,Novak Djokovic,R,188.0,32.6,104731,Kevin Anderson,R,203.0,33.6,7-6(5) 7-6(6),RR,2.0,9055.0,147.0,360.0
