surface,draw_size,tourney_level,tourney_date,winner_id,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_age,score,round,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,16,A,20220103,200000,Felix Auger Aliassime,R,193.0,21.4,105138,Roberto Bautista Agut,R,183.0,33.7,7-6(3) 6-3,F,11.0,3308.0,19.0,2260.0
Hard,16,A,20220103,133430,Denis Shapovalov,L,185.0,22.7,105807,Pablo Carreno Busta,R,188.0,30.4,6-4 6-3,F,14.0,2475.0,20.0,2230.0
Hard,16,A,20220103,105138,Roberto Bautista Agut,R,183.0,33.7,128034,Hubert Hurkacz,R,196.0,24.8,7-6(6) 2-6 7-6(5),SF,19.0,2260.0,9.0,3706.0
Hard,16,A,20220103,105807,Pablo Carreno Busta,R,188.0,30.4,126591,Jan Zielinski,R,,25.1,6-2 6-1,SF,20.0,2230.0,860.0,18.0
Hard,16,A,20220103,106421,Daniil Medvedev,R,198.0,25.8,200000,Felix Auger Aliassime,R,193.0,21.4,6-4 6-0,SF,2.0,8640.0,11.0,3308.0
Hard,16,A,20220103,133430,Denis Shapovalov,L,185.0,22.7,126128,Roman Safiullin,R,185.0,24.4,6-4 5-7 6-4,SF,14.0,2475.0,167.0,409.0
Hard,16,A,20220103,134770,Casper Ruud,R,183.0,23.0,105583,Dusan Lajovic,R,180.0,31.5,6-3 7-5,RR,8.0,4160.0,33.0,1591.0
Hard,16,A,20220103,105936,Filip Krajinovic,R,185.0,29.8,126340,Viktor Durasovic,R,185.0,24.7,6-2 7-5,RR,42.0,1402.0,345.0,137.0
Hard,16,A,20220103,106426,Cristian Garin,R,185.0,25.5,105583,Dusan Lajovic,R,180.0,31.5,4-6 6-4 3-0 RET,RR,17.0,2353.0,33.0,1591.0
Hard,16,A,20220103,105936,Filip Krajinovic,R,185.0,29.8,126214,Alejandro Tabilo,L,188.0,24.5,6-4 3-6 7-6(5),RR,42.0,1402.0,139.0,505.0
Hard,16,A,20220103,105138,Roberto Bautista Agut,R,183.0,33.7,105583,Dusan Lajovic,R,180.0,31.5,6-1 6-4,RR,19.0,2260.0,33.0,1591.0
Hard,16,A,20220103,105807,Pablo Carreno Busta,R,188.0,30.4,105936,Filip Krajinovic,R,185.0,29.8,6-3 6-4,RR,20.0,2230.0,42.0,1402.0
